"wdl_collection_date","short_station_wdl","wdl_sample_id","station_num_wdl","data_owner","data_status_wdl","long_station_wdl","description","lab_collection_date","station_lab","id_type"
2024-07-10,"C3A - Hood","E0724B2382","B9D82211312","0310","1000 - Non-Public, Review Status Unknown","Sacramento River @ Hood - C3A",NA,2024-07-11,"C3A","flims_sample_i_ds"
2024-07-10,"C9","E0724B2383","B9C74981333","0310","1000 - Non-Public, Review Status Unknown","C9 - West Canal @ Clifton Court Intake",NA,2024-07-11,"C9","flims_sample_i_ds"
2024-07-10,"C9","E0724B2385","B9C74981333","0310","1000 - Non-Public, Review Status Unknown","C9 - West Canal @ Clifton Court Intake",NA,2024-07-11,"Dup-C9","flims_sample_i_ds"
2024-07-10,"C10A","E0724B2384","B9D74081159","0310","1000 - Non-Public, Review Status Unknown","C10A - San Joaquin River near Vernalis @ SJR Club",NA,2024-07-11,"C10A","flims_sample_i_ds"
2024-07-10,"Blank; Equipment","E0724B2381","Blank; Equipment","0310","1000 - Non-Public, Review Status Unknown","Blank; Equipment",NA,2024-07-11,"Blank","flims_sample_i_ds"
2024-07-11,"D12","E0724B2393","B9D80131484","0310","1000 - Non-Public, Review Status Unknown","D12 - San Joaquin River @ Antioch Ship Channel",NA,2024-07-12,"D12","flims_sample_i_ds"
2024-07-11,"D19","E0724B2396","B9D80261369","0310","1000 - Non-Public, Review Status Unknown","D19 - Frank's Tract near Russo's Landing",NA,2024-07-12,"Dup-D19","flims_sample_i_ds"
2024-07-11,"D19","E0724B2394","B9D80261369","0310","1000 - Non-Public, Review Status Unknown","D19 - Frank's Tract near Russo's Landing",NA,2024-07-12,"D19","flims_sample_i_ds"
2024-07-11,"D28A","E0724B2395","B9D75821344","0310","1000 - Non-Public, Review Status Unknown","D28A - Old River @ Rancho Del Rio",NA,2024-07-12,"D28A","flims_sample_i_ds"
2024-07-11,"Blank; Equipment","E0724B2392","Blank; Equipment","0310","1000 - Non-Public, Review Status Unknown","Blank; Equipment",NA,2024-07-12,"Blank","flims_sample_i_ds"
2024-07-12,"D16 - Twitchell","E0724B0011","B9D80581401","0310","1000 - Non-Public, Review Status Unknown","D16 - San Joaquin River @ Twitchell Island",NA,2024-07-15,"D16","blims_sample_i_ds"
2024-07-12,"D26","E0724B0012","B9D80461340","0310","1000 - Non-Public, Review Status Unknown","D26 - San Joaquin River @ Potato Point",NA,2024-07-15,"D26","blims_sample_i_ds"
2024-07-12,"MD10A","E0724B0014","B9S80251252","0310","1000 - Non-Public, Review Status Unknown","MD10A - Disappointment Slough @ Bishop Cut",NA,2024-07-15,"Dup-MD10A","blims_sample_i_ds"
2024-07-12,"MD10A","E0724B0015","B9S80251252","0310","1000 - Non-Public, Review Status Unknown","MD10A - Disappointment Slough @ Bishop Cut",NA,2024-07-15,"MD10A","blims_sample_i_ds"
2024-07-12,"P8","E0724B0016","B9D75871229","0310","1000 - Non-Public, Review Status Unknown","P8 - San Joaquin River @ Buckley Cove",NA,2024-07-15,"P8","blims_sample_i_ds"
2024-07-12,"Blank; Equipment","E0724B0013","Blank; Equipment","0310","1000 - Non-Public, Review Status Unknown","Blank; Equipment",NA,2024-07-15,"Blank","blims_sample_i_ds"
2024-07-15,"D4","E0724B0018","B9D80381492","0310","1000 - Non-Public, Review Status Unknown","D4 - Sacramento River above Point Sacramento",NA,2024-07-16,"D4","blims_sample_i_ds"
2024-07-15,"D22","E0724B0017","B9D80511443","0310","1000 - Non-Public, Review Status Unknown","D22 - Sacramento River @ Emmaton",NA,2024-07-16,"D22","blims_sample_i_ds"
2024-07-15,"D22","E0724B0020","B9D80511443","0310","1000 - Non-Public, Review Status Unknown","D22 - Sacramento River @ Emmaton",NA,2024-07-16,"Dup-D22","blims_sample_i_ds"
2024-07-15,"NZ068","E0724B0021","B9D80861414","0310","1000 - Non-Public, Review Status Unknown","NZ068 in Sacramento River",NA,2024-07-16,"NZ068","blims_sample_i_ds"
2024-07-15,"Blank; Equipment","E0724B0019","Blank; Equipment","0310","1000 - Non-Public, Review Status Unknown","Blank; Equipment",NA,2024-07-16,"Blank","blims_sample_i_ds"
2024-07-16,"D6","E0724B0025","E3B80272071","0310","1000 - Non-Public, Review Status Unknown","D6 - Suisun Bay @ Bulls Head nr. Martinez",NA,2024-07-17,"D6","blims_sample_i_ds"
2024-07-16,"D8","E0724B0026","E3B80361594","0310","1000 - Non-Public, Review Status Unknown","D8 - Suisun Bay off Middle Point nr. Nichols",NA,2024-07-17,"D8","blims_sample_i_ds"
2024-07-16,"D10","E0724B0028","B9D80281551","0310","1000 - Non-Public, Review Status Unknown","D10 - Sacramento River @ Chipps Island",NA,2024-07-17,"Dup-D10","blims_sample_i_ds"
2024-07-16,"D10","E0724B0024","B9D80281551","0310","1000 - Non-Public, Review Status Unknown","D10 - Sacramento River @ Chipps Island",NA,2024-07-17,"D10","blims_sample_i_ds"
2024-07-16,"EZ6","E0724B0023","EZ6","0310","1000 - Non-Public, Review Status Unknown","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC",NA,2024-07-17,"EZ6","blims_sample_i_ds"
2024-07-16,"EZ2","E0724B0022","EZ2","0310","1000 - Non-Public, Review Status Unknown","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC",NA,2024-07-17,"EZ2","blims_sample_i_ds"
2024-07-16,"Blank; Equipment","E0724B0027","Blank; Equipment","0310","1000 - Non-Public, Review Status Unknown","Blank; Equipment",NA,2024-07-17,"Blank","blims_sample_i_ds"
2024-07-17,"D7","E0724B0031","E0B80702024","0310","1000 - Non-Public, Review Status Unknown","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough",NA,2024-07-18,"Dup-D7","blims_sample_i_ds"
2024-07-17,"D7","E0724B0029","E0B80702024","0310","1000 - Non-Public, Review Status Unknown","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough",NA,2024-07-18,"D7","blims_sample_i_ds"
2024-07-17,"NZS42","E0724B0033","E3S81082029","0310","1000 - Non-Public, Review Status Unknown","NZS42 - Suisun Slough @ Volanti Slough",NA,2024-07-18,"NZS42","blims_sample_i_ds"
